Quarter,Sell_Date,Ticker,Shares,Buy_Date,Buy_Price_USD,Sell_Price_USD,Holding_Days,Tax_Term,Tax_Rate_Pct,Estimated_Tax_USD,Gain_Loss_USD,Gain_Loss_Pct
2024Q3,2024-07-01,NVDA,125682.44499522512,2020-07-01,9.486056327819824,124.09546661376953,1461,Long-Term,36.1,5199985.116415861,14404390.904199062,1208.188169301018
2024Q3,2024-07-01,CMCSA,51825.081441227194,2017-07-03,28.554025650024414,33.157901763916016,2555,Long-Term,36.1,86133.24789173876,238596.25454775282,16.123387190021894
2024Q3,2024-07-01,CMCSA,248.68159218000176,2018-01-02,30.820600509643555,33.157901763916016,2372,Long-Term,36.1,209.82901083136144,581.2437973167907,7.583568183693032
2024Q3,2024-07-01,CMCSA,770.9053524535827,2019-07-01,32.9491081237793,33.157901763916016,1827,Long-Term,36.1,58.10660864101859,160.9601347396637,0.6336852559175429
2024Q3,2024-07-01,CMCSA,794.3220661444877,2020-01-02,35.33875274658203,33.157901763916016,1642,Long-Term,36.1,-625.3595991201266,-1732.298058504506,-6.171273214720199
2024Q3,2024-07-01,CMCSA,145.0297616884301,2020-07-01,31.456905364990234,33.157901763916016,1461,Long-Term,36.1,89.05693195523926,246.69510236908386,5.407386324844574
2024Q3,2024-07-01,CMCSA,1700.743426682176,2021-07-01,46.412109375,33.157901763916016,1096,Long-Term,36.1,-8137.664335825935,-22542.006470431956,-28.55764969437781
2024Q3,2024-07-01,CMCSA,1990.1355666631196,2022-07-01,33.00993728637695,33.157901763916016,731,Long-Term,36.1,106.30344233651046,294.4693693532146,0.4482422255316636
2024Q3,2024-07-01,CMCSA,578.6628640970092,2023-01-03,29.83066177368164,33.157901763916016,545,Long-Term,36.1,695.0514302456534,1925.3502222871284,11.153758557142911
2024Q3,2024-07-01,CMCSA,728.5500975453123,2024-01-02,37.65754699707031,33.157901763916016,181,Short-Term,49.0,-1606.3263170315927,-3278.2169735338625,-11.948853794179321
2024Q3,2024-07-01,SBUX,7234.9071480798575,2000-01-03,2.273630142211914,73.31938171386719,8946,Long-Term,36.1,185557.39913501727,514009.4158864745,3124.7717143008144
2024Q3,2024-07-01,SBUX,3820.4910583888623,2000-07-03,3.550206184387207,73.31938171386719,8764,Long-Term,36.1,96225.4565654164,266552.5112615413,1965.2147482674354
2024Q3,2024-07-01,SBUX,859.8267855573748,2001-07-02,4.1993889808654785,73.31938171386719,8400,Long-Term,36.1,21454.670842141113,59431.22116936596,1645.9535672438785
2024Q3,2024-07-01,SBUX,417.0592636836384,2002-01-02,3.598156452178955,73.31938171386719,8216,Long-Term,36.1,10497.115716344642,29077.882870760783,1937.6929877372834
2024Q3,2024-07-01,SBUX,129.05289400283283,2002-07-01,4.492623329162598,73.31938171386719,8036,Long-Term,36.1,3206.507539931132,8882.292354379868,1531.994857835846
2024Q3,2024-07-01,SBUX,171.05268350690545,2004-01-02,6.069469451904297,73.31938171386719,7486,Long-Term,36.1,4152.683342842584,11503.277958012699,1108.003142529422
2024Q3,2024-07-01,SBUX,1104.9153925880616,2004-07-01,8.229104042053223,73.31938171386719,7305,Long-Term,36.1,25962.849144377997,71919.24970741828,790.9764822413579
2024Q3,2024-07-01,SBUX,2080.385370530663,2005-07-01,9.414958953857422,73.31938171386719,6940,Long-Term,36.1,47993.4432661893,132945.82622213103,678.7541302432057
2024Q3,2024-07-01,SBUX,265.6567613787871,2008-07-01,5.761478900909424,73.31938171386719,5844,Long-Term,36.1,6478.944133726788,17947.21366683321,1172.5791932049608
2024Q3,2024-07-01,SBUX,416.30346726248735,2009-01-02,3.629509449005127,73.31938171386719,5659,Long-Term,36.1,10473.380899956035,29012.135456941927,1920.0906691113455
2024Q3,2024-07-01,SBUX,14.322392485538021,2009-07-01,5.163937568664551,73.31938171386719,5479,Long-Term,36.1,352.3897966076261,976.1490210737566,1319.834781868371
2024Q3,2024-07-01,SBUX,1193.8828866946546,2010-07-01,9.133586883544922,73.31938171386719,5114,Long-Term,36.1,27663.546248070572,76630.32201681599,702.7446680992267
2024Q3,2024-07-01,SBUX,317.74249296669166,2011-01-03,12.432411193847656,73.31938171386719,4928,Long-Term,36.1,6984.042386601589,19346.377802220468,489.7438603876798
2024Q3,2024-07-01,SBUX,1712.555957326116,2012-07-02,20.16957664489746,73.31938171386719,4382,Long-Term,36.1,32858.947523872506,91022.0153015859,263.5147281706365
2024Q3,2024-07-01,SBUX,1340.295720726953,2013-07-01,25.694766998291016,73.31938171386719,4018,Long-Term,36.1,23043.01529694494,63831.06730455662,185.34752511569275
2024Q3,2024-07-01,SBUX,171.93416963557266,2015-01-02,32.260990142822266,73.31938171386719,3468,Long-Term,36.1,2548.421906543669,7059.340461339804,127.2694712384083
2024Q3,2024-07-01,SBUX,596.4126353378238,2015-07-01,42.98728561401367,73.31938171386719,3288,Long-Term,36.1,6530.650778654387,18090.44537023376,70.56062197601372
2024Q3,2024-07-01,SBUX,79.31500814687386,2016-07-01,46.04303741455078,73.31938171386719,2922,Long-Term,36.1,780.9958727845154,2163.4234703172174,59.240975033276975
2024Q3,2024-07-01,SBUX,199.38454394103897,2017-01-03,45.0816535949707,73.31938171386719,2736,Long-Term,36.1,2032.4901219931194,5630.166542917228,62.636850840907655
2024Q3,2024-07-01,SBUX,170.0834203050236,2017-07-03,47.853759765625,73.31938171386719,2555,Long-Term,36.1,1563.5921092957672,4331.28008115171,53.21550923682076
2024Q3,2024-07-01,SBUX,411.4388514517513,2019-07-01,72.47834014892578,73.31938171386719,1827,Long-Term,36.1,124.9194203564659,346.03717550267567,1.160404009271274
2024Q3,2024-07-01,SBUX,415.7994413621072,2020-01-02,77.26761627197266,73.31938171386719,1642,Long-Term,36.1,-592.6442142292819,-1641.67372362682,-5.1098179918067625
2024Q3,2024-07-01,SBUX,572.6164667399134,2021-07-01,100.92294311523438,73.31938171386719,1096,Long-Term,36.1,-5706.057621471176,-15806.253799089132,-27.35112606639829
2024Q3,2024-07-01,SBUX,970.8185468906182,2022-07-01,71.97607421875,73.31938171386719,731,Long-Term,36.1,470.7829267877368,1304.1078304369441,1.866325038838047
2024Q3,2024-07-01,PEP,568.5295475820269,2019-01-02,86.69367980957031,151.1792449951172,2007,Long-Term,36.1,13234.963661384209,36661.94920051027,74.38323684863147
2024Q3,2024-07-01,AMGN,274.3582795696188,1997-01-02,9.167703628540039,292.49896240234375,10042,Long-Term,36.1,28062.073890676562,77734.27670547525,3090.536848200058
